case_id,selection_category,selection_reason,assistant_proposed_labels_v1_0,researcher_reviewed_labels_v1_0,review_status,review_note,reviewer_initials,review_date
CXR869,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,reference_consistent_answer;retrieval_relevance_gain,reference_consistent_answer;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR980,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,historical_support_abstained;reference_consistent_answer;retrieval_relevance_gain,historical_support_abstained;reference_consistent_answer;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2292,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,retrieval_relevance_gain;structured_output_failure,retrieval_relevance_gain;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1601,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,retrieval_relevance_gain,retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR3199,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,historical_support_abstained;retrieval_relevance_gain,historical_support_abstained;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2693,largest_g3_minus_g0_gain,largest_g3_minus_g0_gain,citation_repaired;historical_support_abstained;retrieval_relevance_gain,citation_repaired;historical_support_abstained;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2181,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2441,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR3880,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR227,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1744,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2658,largest_g3_minus_g0_loss,largest_g3_minus_g0_loss,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1550,agent_retry_recovered,agent_retry_recovered,citation_repaired;historical_support_abstained;historical_support_retry_recovered;reference_inconsistent_answer;retrieval_relevance_gain,citation_repaired;historical_support_abstained;historical_support_retry_recovered;reference_inconsistent_answer;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
