sample_id,qid,case_id,response_label,system
HE001,CXR3677_findings,CXR3677,A,llm_only
HE001,CXR3677_findings,CXR3677,B,case_bm25_top1_semantic_agent
HE001,CXR3677_findings,CXR3677,C,final_adaptive_direct_semantic_agent
HE001,CXR3677_findings,CXR3677,D,case_hybrid_top1_a050_semantic_agent
HE002,CXR3424_impression,CXR3424,A,case_bm25_top1_semantic_agent
HE002,CXR3424_impression,CXR3424,B,final_adaptive_direct_semantic_agent
HE002,CXR3424_impression,CXR3424,C,case_hybrid_top1_a050_semantic_agent
HE002,CXR3424_impression,CXR3424,D,llm_only
HE003,CXR2183_impression,CXR2183,A,case_hybrid_top1_a050_semantic_agent
HE003,CXR2183_impression,CXR2183,B,final_adaptive_direct_semantic_agent
HE003,CXR2183_impression,CXR2183,C,case_bm25_top1_semantic_agent
HE003,CXR2183_impression,CXR2183,D,llm_only
HE004,CXR3793_summary,CXR3793,A,final_adaptive_direct_semantic_agent
HE004,CXR3793_summary,CXR3793,B,llm_only
HE004,CXR3793_summary,CXR3793,C,case_hybrid_top1_a050_semantic_agent
HE004,CXR3793_summary,CXR3793,D,case_bm25_top1_semantic_agent
HE005,CXR300_impression,CXR300,A,case_bm25_top1_semantic_agent
HE005,CXR300_impression,CXR300,B,llm_only
HE005,CXR300_impression,CXR300,C,final_adaptive_direct_semantic_agent
HE005,CXR300_impression,CXR300,D,case_hybrid_top1_a050_semantic_agent
HE006,CXR1369_findings,CXR1369,A,case_bm25_top1_semantic_agent
HE006,CXR1369_findings,CXR1369,B,final_adaptive_direct_semantic_agent
HE006,CXR1369_findings,CXR1369,C,llm_only
HE006,CXR1369_findings,CXR1369,D,case_hybrid_top1_a050_semantic_agent
HE007,CXR813_summary,CXR813,A,case_hybrid_top1_a050_semantic_agent
HE007,CXR813_summary,CXR813,B,final_adaptive_direct_semantic_agent
HE007,CXR813_summary,CXR813,C,llm_only
HE007,CXR813_summary,CXR813,D,case_bm25_top1_semantic_agent
HE008,CXR1064_impression,CXR1064,A,final_adaptive_direct_semantic_agent
HE008,CXR1064_impression,CXR1064,B,llm_only
HE008,CXR1064_impression,CXR1064,C,case_bm25_top1_semantic_agent
HE008,CXR1064_impression,CXR1064,D,case_hybrid_top1_a050_semantic_agent
HE009,CXR3127_findings,CXR3127,A,case_hybrid_top1_a050_semantic_agent
HE009,CXR3127_findings,CXR3127,B,case_bm25_top1_semantic_agent
HE009,CXR3127_findings,CXR3127,C,llm_only
HE009,CXR3127_findings,CXR3127,D,final_adaptive_direct_semantic_agent
HE010,CXR1787_findings,CXR1787,A,case_bm25_top1_semantic_agent
HE010,CXR1787_findings,CXR1787,B,case_hybrid_top1_a050_semantic_agent
HE010,CXR1787_findings,CXR1787,C,llm_only
HE010,CXR1787_findings,CXR1787,D,final_adaptive_direct_semantic_agent
HE011,CXR340_summary,CXR340,A,final_adaptive_direct_semantic_agent
HE011,CXR340_summary,CXR340,B,case_bm25_top1_semantic_agent
HE011,CXR340_summary,CXR340,C,case_hybrid_top1_a050_semantic_agent
HE011,CXR340_summary,CXR340,D,llm_only
HE012,CXR3935_summary,CXR3935,A,case_bm25_top1_semantic_agent
HE012,CXR3935_summary,CXR3935,B,final_adaptive_direct_semantic_agent
HE012,CXR3935_summary,CXR3935,C,llm_only
HE012,CXR3935_summary,CXR3935,D,case_hybrid_top1_a050_semantic_agent
HE013,CXR2047_summary,CXR2047,A,llm_only
HE013,CXR2047_summary,CXR2047,B,case_hybrid_top1_a050_semantic_agent
HE013,CXR2047_summary,CXR2047,C,final_adaptive_direct_semantic_agent
HE013,CXR2047_summary,CXR2047,D,case_bm25_top1_semantic_agent
HE014,CXR2322_summary,CXR2322,A,case_bm25_top1_semantic_agent
HE014,CXR2322_summary,CXR2322,B,case_hybrid_top1_a050_semantic_agent
HE014,CXR2322_summary,CXR2322,C,llm_only
HE014,CXR2322_summary,CXR2322,D,final_adaptive_direct_semantic_agent
HE015,CXR1257_impression,CXR1257,A,case_hybrid_top1_a050_semantic_agent
HE015,CXR1257_impression,CXR1257,B,final_adaptive_direct_semantic_agent
HE015,CXR1257_impression,CXR1257,C,case_bm25_top1_semantic_agent
HE015,CXR1257_impression,CXR1257,D,llm_only
HE016,CXR3166_findings,CXR3166,A,case_bm25_top1_semantic_agent
HE016,CXR3166_findings,CXR3166,B,case_hybrid_top1_a050_semantic_agent
HE016,CXR3166_findings,CXR3166,C,final_adaptive_direct_semantic_agent
HE016,CXR3166_findings,CXR3166,D,llm_only
HE017,CXR3995_findings,CXR3995,A,llm_only
HE017,CXR3995_findings,CXR3995,B,final_adaptive_direct_semantic_agent
HE017,CXR3995_findings,CXR3995,C,case_bm25_top1_semantic_agent
HE017,CXR3995_findings,CXR3995,D,case_hybrid_top1_a050_semantic_agent
HE018,CXR933_summary,CXR933,A,final_adaptive_direct_semantic_agent
HE018,CXR933_summary,CXR933,B,case_hybrid_top1_a050_semantic_agent
HE018,CXR933_summary,CXR933,C,case_bm25_top1_semantic_agent
HE018,CXR933_summary,CXR933,D,llm_only
HE019,CXR1801_impression,CXR1801,A,case_hybrid_top1_a050_semantic_agent
HE019,CXR1801_impression,CXR1801,B,llm_only
HE019,CXR1801_impression,CXR1801,C,case_bm25_top1_semantic_agent
HE019,CXR1801_impression,CXR1801,D,final_adaptive_direct_semantic_agent
HE020,CXR569_findings,CXR569,A,llm_only
HE020,CXR569_findings,CXR569,B,final_adaptive_direct_semantic_agent
HE020,CXR569_findings,CXR569,C,case_bm25_top1_semantic_agent
HE020,CXR569_findings,CXR569,D,case_hybrid_top1_a050_semantic_agent
HE021,CXR2165_summary,CXR2165,A,case_bm25_top1_semantic_agent
HE021,CXR2165_summary,CXR2165,B,llm_only
HE021,CXR2165_summary,CXR2165,C,final_adaptive_direct_semantic_agent
HE021,CXR2165_summary,CXR2165,D,case_hybrid_top1_a050_semantic_agent
HE022,CXR2522_impression,CXR2522,A,case_hybrid_top1_a050_semantic_agent
HE022,CXR2522_impression,CXR2522,B,case_bm25_top1_semantic_agent
HE022,CXR2522_impression,CXR2522,C,llm_only
HE022,CXR2522_impression,CXR2522,D,final_adaptive_direct_semantic_agent
HE023,CXR1531_findings,CXR1531,A,case_hybrid_top1_a050_semantic_agent
HE023,CXR1531_findings,CXR1531,B,llm_only
HE023,CXR1531_findings,CXR1531,C,final_adaptive_direct_semantic_agent
HE023,CXR1531_findings,CXR1531,D,case_bm25_top1_semantic_agent
HE024,CXR540_impression,CXR540,A,case_hybrid_top1_a050_semantic_agent
HE024,CXR540_impression,CXR540,B,final_adaptive_direct_semantic_agent
HE024,CXR540_impression,CXR540,C,case_bm25_top1_semantic_agent
HE024,CXR540_impression,CXR540,D,llm_only
HE025,CXR666_impression,CXR666,A,case_bm25_top1_semantic_agent
HE025,CXR666_impression,CXR666,B,final_adaptive_direct_semantic_agent
HE025,CXR666_impression,CXR666,C,case_hybrid_top1_a050_semantic_agent
HE025,CXR666_impression,CXR666,D,llm_only
HE026,CXR2782_findings,CXR2782,A,llm_only
HE026,CXR2782_findings,CXR2782,B,case_bm25_top1_semantic_agent
HE026,CXR2782_findings,CXR2782,C,final_adaptive_direct_semantic_agent
HE026,CXR2782_findings,CXR2782,D,case_hybrid_top1_a050_semantic_agent
HE027,CXR3046_summary,CXR3046,A,final_adaptive_direct_semantic_agent
HE027,CXR3046_summary,CXR3046,B,case_bm25_top1_semantic_agent
HE027,CXR3046_summary,CXR3046,C,case_hybrid_top1_a050_semantic_agent
HE027,CXR3046_summary,CXR3046,D,llm_only
HE028,CXR2226_summary,CXR2226,A,case_hybrid_top1_a050_semantic_agent
HE028,CXR2226_summary,CXR2226,B,final_adaptive_direct_semantic_agent
HE028,CXR2226_summary,CXR2226,C,case_bm25_top1_semantic_agent
HE028,CXR2226_summary,CXR2226,D,llm_only
HE029,CXR2808_impression,CXR2808,A,case_bm25_top1_semantic_agent
HE029,CXR2808_impression,CXR2808,B,llm_only
HE029,CXR2808_impression,CXR2808,C,case_hybrid_top1_a050_semantic_agent
HE029,CXR2808_impression,CXR2808,D,final_adaptive_direct_semantic_agent
HE030,CXR2155_impression,CXR2155,A,case_hybrid_top1_a050_semantic_agent
HE030,CXR2155_impression,CXR2155,B,llm_only
HE030,CXR2155_impression,CXR2155,C,case_bm25_top1_semantic_agent
HE030,CXR2155_impression,CXR2155,D,final_adaptive_direct_semantic_agent
HE031,CXR1514_findings,CXR1514,A,case_bm25_top1_semantic_agent
HE031,CXR1514_findings,CXR1514,B,case_hybrid_top1_a050_semantic_agent
HE031,CXR1514_findings,CXR1514,C,llm_only
HE031,CXR1514_findings,CXR1514,D,final_adaptive_direct_semantic_agent
HE032,CXR619_summary,CXR619,A,llm_only
HE032,CXR619_summary,CXR619,B,final_adaptive_direct_semantic_agent
HE032,CXR619_summary,CXR619,C,case_bm25_top1_semantic_agent
HE032,CXR619_summary,CXR619,D,case_hybrid_top1_a050_semantic_agent
HE033,CXR1027_summary,CXR1027,A,case_hybrid_top1_a050_semantic_agent
HE033,CXR1027_summary,CXR1027,B,llm_only
HE033,CXR1027_summary,CXR1027,C,case_bm25_top1_semantic_agent
HE033,CXR1027_summary,CXR1027,D,final_adaptive_direct_semantic_agent
HE034,CXR3567_findings,CXR3567,A,case_bm25_top1_semantic_agent
HE034,CXR3567_findings,CXR3567,B,final_adaptive_direct_semantic_agent
HE034,CXR3567_findings,CXR3567,C,llm_only
HE034,CXR3567_findings,CXR3567,D,case_hybrid_top1_a050_semantic_agent
HE035,CXR750_findings,CXR750,A,llm_only
HE035,CXR750_findings,CXR750,B,case_bm25_top1_semantic_agent
HE035,CXR750_findings,CXR750,C,case_hybrid_top1_a050_semantic_agent
HE035,CXR750_findings,CXR750,D,final_adaptive_direct_semantic_agent
HE036,CXR3032_impression,CXR3032,A,case_bm25_top1_semantic_agent
HE036,CXR3032_impression,CXR3032,B,final_adaptive_direct_semantic_agent
HE036,CXR3032_impression,CXR3032,C,llm_only
HE036,CXR3032_impression,CXR3032,D,case_hybrid_top1_a050_semantic_agent
